Rank,Title,Studio,Release Date,Opening Box Office,Opening Theaters,Genre,Runtime,Rating,Lifetime Gross
2,Avengers: Endgame,Buena Vista,26-Apr-19,357115007,"4,662",Action / Adventure,3 hrs. 1 min.,PG-13,"$858,373,000 "
464,Minority Report,Fox,21-Jun-02,35677125,"3,001",Sci-Fi Thriller,2 hrs. 24 min.,PG-13,"$132,072,926 "
495,Sweet Home Alabama,Buena Vista,27-Sep-02,35648740,"3,313",Romantic Comedy,1 hrs. 42 min.,PG-13,"$127,223,418 "
402,The Smurfs,Sony / Columbia,29-Jul-11,35611637,"3,427",Family Comedy,1 hrs. 26 min.,PG,"$142,614,158 "
493,Central Intelligence,Warner Bros. (New Line),17-Jun-16,35535250,"3,508",Comedy,1 hrs. 47 min.,PG-13,"$127,440,871 "
501,The World Is Not Enough,MGM,19-Nov-99,35519007,"3,163",Action,2 hrs. 8 min.,PG-13,"$126,943,684 "
500,Super 8,Paramount,10-Jun-11,35451168,"3,424",Sci-Fi,1 hrs. 52 min.,PG-13,"$127,004,179 "
228,Spider-Man: Into The Spider-Verse,Sony / Columbia,14-Dec-18,35363376,"3,813",Animation,1 hrs. 57 min.,PG,"$190,241,310 "
385,Lilo & Stitch,Buena Vista,21-Jun-02,35260212,"3,222",Animation,1 hrs. 25 min.,PG,"$145,794,338 "
106,Sing,Universal,21-Dec-16,35258145,"4,029",Animation,1 hrs. 50 min.,PG,"$270,395,425 "
285,National Treasure,Buena Vista,19-Nov-04,35142554,"3,243",Adventure,2 hrs. 11 min.,PG,"$173,008,894 "
361,Runaway Bride,Paramount,30-Jul-99,35055556,"3,240",Romantic Comedy,1 hrs. 56 min.,PG,"$152,257,509 "
517,Sully,Warner Bros.,9-Sep-16,35028301,"3,955",Drama,1 hrs. 36 min.,PG-13,"$125,070,033 "
541,Mamma Mia! Here We Go Again,Universal,20-Jul-18,34952180,"3,514",Musical,1 hrs. 54 min.,PG-13,"$120,634,935 "
234,Gladiator,DreamWorks,5-May-00,34819017,"3,188",Historical Epic,2 hrs. 35 min.,R,"$187,705,427 "
450,Identity Thief,Universal,8-Feb-13,34551025,"3,230",Comedy,1 hrs. 51 min.,R,"$134,506,920 "
491,Enchanted,Buena Vista,21-Nov-07,34440317,"3,730",Family Adventure,1 hrs. 47 min.,PG,"$127,807,262 "
547,I Now Pronounce You Chuck and Larry,Universal,20-Jul-07,34233750,"3,501",Comedy,1 hrs. 50 min.,PG-13,"$120,059,556 "
293,Tarzan,Buena Vista,16-Jun-99,34221968,"3,131",Animation,1 hrs. 28 min.,G,"$171,091,819 "
436,Ransom,Buena Vista,8-Nov-96,34216088,"2,768",Thriller,2 hrs. 1 min.,R,"$136,492,681 "
120,The Blind Side,Warner Bros.,20-Nov-09,34119372,"3,407",Sports Drama,2 hrs. 6 min.,PG-13,"$255,959,475 "
371,Puss in Boots,Paramount (DreamWorks),28-Oct-11,34077439,"3,963",Animation,1 hrs. 30 min.,PG,"$149,260,504 "
472,Lethal Weapon 4,Warner Bros.,10-Jul-98,34048124,"3,117",Action Comedy,2 hrs. 7 min.,R,"$130,444,603 "
549,Cloudy with a Chance of Meatballs 2,Sony / Columbia,27-Sep-13,34017930,"4,001",Animation,1 hrs. 35 min.,PG,"$119,793,567 "
192,Wedding Crashers,New Line,15-Jul-05,33900720,"3,131",Comedy,1 hrs. 53 min.,R,"$209,255,921 "
315,The Proposal,Buena Vista,19-Jun-09,33627598,"3,158",Romantic Comedy,1 hrs. 48 min.,PG-13,"$163,958,031 "
248,What Women Want,Paramount,15-Dec-00,33614543,"3,092",Fantasy Comedy,2 hrs. 7 min.,PG-13,"$182,811,707 "
438,101 Dalmatians (1996),Buena Vista,27-Nov-96,33504025,"2,901",Family Comedy,1 hrs. 43 min.,G,"$136,189,294 "
274,Get Out,Universal,24-Feb-17,33377060,"3,143",Horror,1 hrs. 43 min.,R,"$176,040,665 "
448,Live Free or Die Hard,Fox,27-Jun-07,33369559,"3,411",Action,2 hrs. 10 min.,PG-13,"$134,529,403 "
393,Lethal Weapon 3,Warner Bros.,15-May-92,33243086,"2,568",Action Comedy,1 hrs. 58 min.,R,"$144,731,527 "
538,Superbad,Sony / Columbia,17-Aug-07,33052411,"3,069",Comedy,1 hrs. 54 min.,R,"$121,463,226 "
410,Rush Hour,New Line,18-Sep-98,33001803,"2,724",Action Comedy,1 hrs. 37 min.,PG-13,"$141,186,864 "
383,Paul Blart: Mall Cop,Sony / Columbia,16-Jan-09,31832636,"3,206",Comedy,1 hrs. 27 min.,PG,"$146,336,178 "
201,Terminator 2: Judgment Day,TriStar,3-Jul-91,31765506,"2,495",Sci-Fi Action,2 hrs. 17 min.,R,"$205,881,154 "
510,The Truman Show,Paramount,5-Jun-98,31542121,"2,911",Comedy / Drama,1 hrs. 43 min.,PG,"$125,618,201 "
251,Liar Liar,Universal,21-Mar-97,31423025,"2,909",Fantasy Comedy,1 hrs. 26 min.,PG-13,"$181,410,615 "
283,Home Alone 2: Lost in New York,Fox,20-Nov-92,31126882,"2,461",Family Comedy,2 hrs. 0 min.,PG,"$173,585,516 "
281,Elf,New Line,7-Nov-03,31113501,"3,381",Comedy,1 hrs. 35 min.,PG,"$173,840,591 "
458,Bringing Down the House,Buena Vista,7-Mar-03,31101026,"2,910",Comedy,1 hrs. 45 min.,PG-13,"$132,716,677 "
546,Four Christmases,Warner Bros. (New Line),26-Nov-08,31069826,"3,540",Comedy,1 hrs. 22 min.,PG-13,"$120,146,040 "
489,Into the Woods,Buena Vista,25-Dec-14,31051923,"2,833",Musical,2 hrs. 4 min.,PG,"$128,002,372 "
375,Little Fockers,Universal,22-Dec-10,30833665,"3,675",Comedy,1 hrs. 38 min.,PG-13,"$148,438,600 "
373,Knocked Up,Universal,1-Jun-07,30690990,"2,975",Romantic Comedy,2 hrs. 9 min.,R,"$148,768,917 "
175,Saving Private Ryan,DreamWorks,24-Jul-98,30576104,"2,807",War,2 hrs. 50 min.,R,"$217,049,603 "
